"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";900983.5;6440598;;;;;
"p2";900975;6440551.11839629;1;204;0;60;
"p3";900937.024725557;6440636.20349295;1;337.333333333333;0;60;
"p4";901037.242705614;6440633.17811075;1;470.666666666667;0;60;
"pt1";900986;6440604;;;;;
"pt2";900982.232568828;6440544.11839629;1;204;0;60;
"pt3";900936.024725557;6440637.20349295;1;337.333333333333;0;60;
"pt4";901039.742705614;6440630.67811075;1;470.666666666667;0;60;
"GPS2";900974.964;6440550.517;;;;;
