"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
78;"p2";"PIAB";33.5;6;42.1;2.95;35.3;1;0;"arbre104(34,3,43,2.88,35.6)"
79;"p2";"PIAB";124;37;39;1.54;33.7;1;0;
80;"p2";"PIAB";161;33;54.6;2.76;38.1;1;0;
81;"p2";"PIAB";161;30;58;7.24;37.5;1;0;
82;"p2";"ABAL";167;26;34.3;11.14;31.8;1;0;
83;"p2";"PIAB";170;26;49;13.97;36;1;0;
84;"p2";"PIAB";159.5;28;49;15.13;35.7;1;0;
85;"p2";"PIAB";141.5;30;41.6;13.38;36.5;1;0;
86;"p2";"PIAB";147;29;42.1;11.7;32.4;1;0;
87;"p2";"ABAL";132;30;50.3;12.22;34.7;1;0;
88;"p2";"PIAB";121;27;39.3;15.46;36.2;1;0;
89;"p2";"PIAB";128.5;26.5;39.7;15.94;29.4;2;0;"cc"
90;"p2";"ABAL";119;26;13.5;10.21;11.1;1;0;
91;"p2";"PIAB";114.5;27;42.6;10.57;32.6;1;0;
92;"p2";"PIAB";97.5;23;44;13.4;34.1;1;0;
93;"p2";"ABAL";85;20;9.6;12.28;7.7;1;0;
94;"p2";"ABAL";60;12;77.7;12.96;38.4;1;0;
95;"p2";"PIAB";50.5;7;37.6;13.49;25.1;2;1;"cc p"
96;"p2";"ABAL";45;3;25.2;14.06;15.3;2;0;"cc"
97;"p2";"ABAL";43;5;81.1;8.14;39;1;0;
98;"p2";"PIAB";26;-5;33.7;11.22;30;1;0;
99;"p2";"PIAB";15;-11;60.6;14.06;35.7;1;0;
100;"p2";"PIAB";399;-17;31.5;11.09;28.4;1;0;
101;"p2";"PIAB";396;-18;44.6;8.87;36.1;1;0;
102;"p2";"ABAL";394;-18;22.3;5.58;20.9;1;0;
103;"p2";"ABAL";394;-18;9;5.15;4.9;1;0;
105;"p2";"PIAB";349;-20;53.2;1.91;36.9;1;0;
106;"p2";"PIAB";378.5;-23;48;13.72;26.6;2;0;"cc"
107;"p2";"PIAB";367.5;-25.5;49.8;15.47;34.1;1;0;
108;"p2";"PIAB";335.5;-29;36.8;12.08;31.4;1;0;
109;"p2";"PIAB";338;-28.5;42.1;16.34;26.6;2;0;"cc"
110;"p2";"PIAB";307;-28;40;13.5;33.5;1;0;
111;"p2";"ABAL";299;-26;60.3;15.84;35.7;1;0;
112;"p2";"PIAB";291;-26;63;8.19;36.7;1;0;
113;"p2";"ABAL";275.5;-22;34.6;7.84;29.7;1;0;
114;"p2";"PIAB";253;-14;37.4;13.36;26.9;1;0;
115;"p2";"PIAB";243;-7;54.3;11.96;34.7;1;0;
116;"p2";"PIAB";224;3;59.5;13.1666;38.8;1;0;
117;"p2";"PIAB";229;3;44;6.44;35.2;1;0;
118;"p2";"PIAB";232;3;42;3.14;31.7;1;0;
119;"p2";"PIAB";198;17;55;9.32;36.3;1;0;
120;"p2";"PIAB";83;22;41;6.07;36;1;0;
