"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p3";"PIAB";240.5;17;15;1.04;8.8;1;0;""
2;"p3";"SACA";279.5;25;19.3;4.6;12.9;1;0;"ce1"
3;"p3";"SACA";279.5;25;12.2;4.84;13.3;1;0;"ce1"
4;"p3";"PIAB";257;21;15.9;5.22;11.9;1;0;""
5;"p3";"PIAB";274.5;25;18.8;8.4;13;1;0;""
6;"p3";"PISY";284;25;32.5;10.14;19.3;1;0;""
7;"p3";"CRsp";294;26;8.9;9.63;9.1;1;0;""
8;"p3";"PIAB";300;28.5;33.5;5.98;20.6;1;0;""
9;"p3";"CABE";292;25;8.7;12.56;8.1;1;0;""
10;"p3";"PIAB";272.5;24;13;11.36;11;1;0;""
11;"p3";"PIAB";278;25;9.4;13.19;8.7;1;0;""
12;"p3";"PISY";280.5;25;37.4;13.74;17.7;1;0;""
13;"p3";"FREX";280.5;25;9.4;14.38;9.8;1;0;""
14;"p3";"PISY";274;24;38.6;14.78;18;1;0;""
15;"p3";"FASY";273;24;9.2;15.23;9.1;1;0;""
16;"p3";"PIAB";248.5;20;8.2;14.1;6.5;1;0;""
17;"p3";"PISY";245;18;35.9;12.2;13.4;1;0;""
18;"p3";"PIAB";246.5;19;9.8;14.63;8.5;1;0;""
19;"p3";"FASY";245;18;15.6;15.15;14.2;1;0;""
20;"p3";"PIAB";229;14;10.9;11.3;9;1;0;""
21;"p3";"PISY";221;11;42.2;11.12;14.3;1;0;""
22;"p3";"PISY";251;22;34.7;8.47;15.9;1;0;""
23;"p3";"FASY";235;18;12.4;5.01;12.6;1;0;""
24;"p3";"PISY";226;15;16.7;5.54;9.2;1;0;""
25;"p3";"PISY";227.5;15;41.7;6.08;16.3;1;0;""
26;"p3";"PIAB";170;-5;15;1.17;11.5;1;0;""
27;"p3";"ACPS";199;1;13.8;8.58;8.9;1;0;""
28;"p3";"FREX";181.5;-5.5;8.4;14.15;12.2;1;0;""
29;"p3";"PISY";174;-8;25.5;14.33;13.2;1;0;""
30;"p3";"PIAB";178;-6;21.4;11.26;13.1;1;0;""
31;"p3";"PIAB";177.5;-6;34.4;11.4;20.1;1;0;""
32;"p3";"PISY";176;-6;21.3;11.14;13.3;1;0;""
33;"p3";"PISY";150;-16;30.1;11.14;17.7;1;0;""
34;"p3";"PIAB";145.5;-18;12.7;11.13;9.8;1;0;""
35;"p3";"PISY";145.5;-18;30.3;12.89;15.6;1;0;""
36;"p3";"PIAB";141.5;-18;11.5;13.16;8.6;1;0;""
37;"p3";"PISY";144;-17;35.3;15.68;16.2;1;0;""
38;"p3";"FREX";142;-18;8;14.64;9.2;1;0;""
39;"p3";"PISY";135.5;-20;30;10.34;16.6;1;0;""
40;"p3";"PISY";133;-20;17;10.55;5.7;1;1;"penche"
41;"p3";"ACPS";123.5;-22.5;7.7;9.6;7.7;1;0;""
42;"p3";"FREX";135.5;-16.5;8.7;3.4;13.2;1;0;""
43;"p3";"PIAB";117;-20;25.5;3.38;15.5;1;0;""
44;"p3";"PIAB";71;-20;21.4;2.58;16.8;1;0;""
45;"p3";"PIAB";77.5;-24;21;5.48;15.2;1;0;""
46;"p3";"ACPS";90;-24;15.2;11.98;12.6;1;0;""
47;"p3";"FREX";97.5;-25;12.1;13;14;1;0;""
48;"p3";"PISY";115.5;-23.3;19.6;14.5;13.9;1;0;""
49;"p3";"PISY";87;-25;31.5;13.14;16.1;1;0;""
50;"p3";"FASY";81.5;-24;17.5;14.24;16.3;1;0;""
51;"p3";"PIAB";75;-24;17.3;12;17.4;1;0;""
52;"p3";"FREX";64;-22;20;9.44;16.1;1;0;""
53;"p3";"PIAB";47.5;-18;29.9;11.19;19.6;1;0;""
54;"p3";"PIAB";51.5;-19.5;37.4;12.21;22.7;1;0;""
55;"p3";"PISY";56;-21;25;12.13;8.9;4;0;"sec"
56;"p3";"PIAB";58;-21;16.1;4.95;15.9;1;0;""
57;"p3";"PIAB";46;-18;11.1;3.61;8.5;1;0;""
58;"p3";"PIAB";48;-19;8;3.88;6.4;1;0;""
59;"p3";"PISY";23;-8;37;2.74;16.9;1;0;""
60;"p3";"PISY";391;1;26.9;8.11;17;1;0;""
61;"p3";"PISY";368;8;20.5;9.88;9.1;1;0;""
62;"p3";"PISY";350;16.5;49.1;10.01;22.3;1;0;""
63;"p3";"PIAB";357;13;19.5;12.29;12.4;1;0;""
64;"p3";"PIAB";347;15.5;10.5;14.61;10.4;1;0;""
65;"p3";"FASY";322;21;10.1;14.47;11.5;1;0;""
66;"p3";"ACPS";325;21;10.7;14.87;9.4;1;0;""
67;"p3";"ACPS";323.5;21;9.7;14.99;8.3;1;0;""
68;"p3";"PISY";318;23;25.2;15.34;15.8;1;0;""
69;"p3";"PIAB";312.5;23;28.7;15.25;13.1;1;0;""
