"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p4";"PIAB";142;-9;16;7.13;14.5;1;0;""
2;"p4";"PIAB";145;-8.5;16;7.23;13.9;1;0;""
3;"p4";"POTR";148;-11;12;9.42;12.6;1;0;""
4;"p4";"PIAB";143;-5;20;11.48;12.9;1;0;""
5;"p4";"PIAB";134;-5;18;11.67;13.9;1;0;""
6;"p4";"PIAB";128;-4;18;13.23;14.8;1;0;""
7;"p4";"PIUN";134;-4;8;13.71;9.6;1;0;""
8;"p4";"PIAB";145;-4;19;14.86;15;1;0;""
9;"p4";"PIAB";147;-3.5;8;14.64;4.9;1;0;""
10;"p4";"PIAB";148;-3.5;20;14.77;13.5;1;0;""
11;"p4";"PIAB";167;-6;18;9.4;13.5;1;0;""
12;"p4";"PIAB";178;-6;8;10.69;6.4;1;0;""
13;"p4";"PIUN";175;-4;16;11.74;10.8;1;0;""
14;"p4";"PIAB";177;-5;9;12.63;7.9;1;0;""
15;"p4";"PIUN";179;-3;19;14.33;7.8;4;0;"sec"
16;"p4";"PIAB";174;-3;16;14.72;12.6;1;0;""
17;"p4";"PIAB";184;-5;30;12.27;16.8;1;0;""
18;"p4";"PIAB";189;-8;8;11.39;6.7;1;0;""
19;"p4";"PIAB";192.5;-9;11;8.75;10.7;1;0;""
20;"p4";"PIAB";195;-7;28;12.49;17.6;1;0;""
21;"p4";"PIAB";190;-5;12;13.93;12.2;1;0;""
22;"p4";"PIAB";189.5;-4;8;14.86;9.3;1;0;""
23;"p4";"PIAB";222;-5;11;14.75;11.6;1;0;""
24;"p4";"PIAB";207;-10;11;9.69;10.5;1;0;""
25;"p4";"SOAR";209;-3;8;4.1;9.8;1;0;""
26;"p4";"PIAB";219;-7;12;5.3;10.5;1;0;""
27;"p4";"PIUN";228;-6;33;7.54;12.3;4;0;"sec"
28;"p4";"ABAL";223;-8;17;7.83;15.2;1;0;""
29;"p4";"PIAB";237;-6;18;10.08;15.2;1;0;""
30;"p4";"ABAL";234;-6;12;10.33;11.2;1;0;""
31;"p4";"PIAB";231;-6;16;11.65;13.5;1;0;""
