"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
246;"p2";"FASY";35;1;1.65;14.2;17;1;0;"&12h57"
247;"p2";"FASY";27;1;3.38;22.1;18.9;1;0;""
248;"p2";"ABAL";2;-5;2.55;7.6;6.4;1;0;""
249;"p2";"PIAB";19;-3;4.36;20.6;14.4;4;0;"sec"
250;"p2";"PIAB";56;5;7.32;33.5;18.1;1;0;""
251;"p2";"FASY";65;5;7.89;11.3;12.2;1;0;""
252;"p2";"FASY";69.5;5.5;9.969;10.3;14.4;1;0;""
253;"p2";"PIAB";74;6;11.92;27;17.4;3;0;"sec avec branches"
254;"p2";"PIAB";68;5;13.06;7.6;7.3;3;0;"sec avec branches"
255;"p2";"PIAB";62;3;12.64;11.7;7;1;0;""
256;"p2";"FASY";97.5;11;13.97;21.3;21.1;1;0;""
257;"p2";"PIAB";100;12.5;11.49;19.9;16.9;1;0;""
258;"p2";"PIAB";106;14;10.8;10.6;6.4;4;0;"sec"
259;"p2";"PIAB";115;15;10.32;23.6;17.1;1;0;""
260;"p2";"FASY";123;16;9.62;12;14.6;1;0;""
261;"p2";"FASY";96;11.5;11.14;18.1;18.6;1;0;""
262;"p2";"FASY";89;9.5;10.55;10.1;12.7;1;0;""
263;"p2";"PIAB";87;10;9.45;26.8;18.9;1;0;""
264;"p2";"FASY";90;11;8.53;18.8;19.1;1;0;""
265;"p2";"PIAB";80;9;9.31;12.9;11.2;1;0;""
266;"p2";"PIAB";104;12;5.46;9.1;6.2;1;0;""
267;"p2";"FASY";115;14;4.69;13.3;15.7;1;0;""
268;"p2";"FASY";115;14;5.94;26.1;20.1;1;0;""
269;"p2";"FASY";75;6;5.42;12.9;14.5;1;0;""
270;"p2";"PIAB";86;13;2.19;27.5;20.1;1;0;""
271;"p2";"PIAB";123;18;2.58;25.7;19.1;1;0;""
272;"p2";"FASY";144;16;4.1;13.8;18.2;1;0;""
273;"p2";"FASY";142;16;8.28;7.8;6.2;1;0;"ce1-penche"
274;"p2";"FASY";142.5;16;8.52;13;13.2;1;0;"ce1"
275;"p2";"FASY";139;15;10.87;18.8;17.5;1;0;""
276;"p2";"ABAL";134;15.5;13.17;7.8;6.9;1;0;""
277;"p2";"PIAB";138;16;13.91;12;10.3;3;0;"sec avec branches"
278;"p2";"FASY";132.5;16;15.23;17.5;16.9;1;0;""
279;"p2";"ACPS";126;15;13.79;10;10.5;1;0;""
280;"p2";"PIAB";146;17;15.1;20.6;15.2;3;0;"sec avec branches"
281;"p2";"FASY";150;16;10.46;20.2;18.4;1;0;""
282;"p2";"FASY";160;15;11;9;13;1;0;"ce2"
283;"p2";"FASY";161;15;10.95;11.4;14.3;1;0;"ce2"
284;"p2";"FASY";169;15;10.2;16.9;21;1;1;"penche"
285;"p2";"FASY";170;14;8.57;12.6;13.5;1;0;""
286;"p2";"FASY";169.5;13.5;7.38;9.2;10.7;1;0;""
287;"p2";"FASY";155;16;8.64;8.5;12.9;1;0;""
288;"p2";"PIAB";188;13;6.64;16.4;16.5;1;0;""
289;"p2";"FASY";178;14;9.51;28.3;20.5;1;0;""
290;"p2";"PIAB";191.5;11;10.2;14.6;13.7;1;0;""
291;"p2";"PIAB";197;10;10.87;10.3;11.1;1;0;""
292;"p2";"FASY";200;9.5;11.45;11.8;15.1;1;0;""
293;"p2";"FASY";207;7.5;12.34;10.5;15.6;1;1;"penche"
294;"p2";"SOAU";212;5;11.61;17.5;17.4;1;0;""
295;"p2";"ABAL";206;8.5;8.77;18.4;16.2;1;0;""
296;"p2";"FASY";192;10;4.34;9.2;11.7;1;0;""
297;"p2";"PIAB";170;11;1.65;8.5;6;1;0;""
298;"p2";"ABAL";235;5;2.48;26.3;19.2;1;0;""
299;"p2";"FASY";208.5;8;4.79;17.6;16.3;1;0;""
300;"p2";"FASY";225;4;6.86;20.4;19;1;0;""
301;"p2";"FASY";221;5;8.4;7.6;9.6;1;0;"ce4"
302;"p2";"FASY";222;5;8.58;14.1;15.9;1;0;"ce4"
303;"p2";"PIAB";221;4.5;10.57;11;8.5;1;0;""
304;"p2";"PIAB";224.5;3;11.61;15.3;14.4;1;0;""
305;"p2";"FASY";223;3;12.98;17.5;14.4;1;0;""
306;"p2";"PIAB";228;2;13.62;8.3;8.2;1;0;""
307;"p2";"PIAB";229;2;12.4;10.6;11.3;1;0;""
308;"p2";"PIAB";231;1.5;14.78;13.2;11.3;1;0;""
309;"p2";"PIAB";231.5;1.5;10.34;8;6.4;1;0;""
310;"p2";"FASY";246;0;6.81;11.5;14.8;1;0;""
311;"p2";"FASY";253;-1;5.74;20.2;17.5;1;0;""
312;"p2";"PIAB";255;-3;8.38;8.5;6.7;1;0;""
313;"p2";"ABAL";250;-2;12;19.3;18.6;1;0;""
314;"p2";"ACPS";252.5;-3;12.37;7.6;11.3;1;0;""
315;"p2";"FASY";257;-4;13.39;13;17.4;1;0;""
316;"p2";"FASY";262;-4.5;12.71;12.1;7.8;1;0;"ce5"
317;"p2";"FASY";263.5;-4.5;12.64;24.9;20.1;1;0;"ce5"
318;"p2";"PIAB";264;-4.5;13.48;32.7;19.3;1;0;""
319;"p2";"FASY";266;-5;13.9;12.9;15.3;1;0;""
320;"p2";"PIAB";282;-7.5;13.49;21.9;18;1;0;""
321;"p2";"ABAL";276;-6;10.92;11.5;12.1;1;0;""
322;"p2";"FASY";283.5;-7.5;9.41;17.1;16.8;1;0;""
323;"p2";"FASY";277;-7;9.32;7.7;12.6;1;0;""
324;"p2";"FASY";291;-9;12.55;29.4;22.5;1;0;""
325;"p2";"FASY";305;-10.5;13.9;25.6;18.2;1;0;""
326;"p2";"FASY";335.5;-12;13.21;27.8;20.5;1;0;""
327;"p2";"PIAB";341.5;-12;13.73;12.6;8.4;1;0;""
328;"p2";"PIAB";333.5;-12.5;11.14;22.3;18.5;1;0;""
329;"p2";"PIAB";327;-12.5;10.13;23.8;18.6;1;0;""
330;"p2";"ACPS";341;-12.5;10.92;16.1;17.1;1;0;""
331;"p2";"FREX";356;-12;12.69;13.9;17.3;1;0;""
332;"p2";"FASY";344;-12.5;6.89;19.3;18.3;1;0;""
333;"p2";"FASY";318;-12;7.39;18.2;17.2;1;0;""
334;"p2";"FASY";316;-11.5;6.76;11.7;12.9;1;0;""
335;"p2";"FASY";302;-9;6.49;15.8;15.8;1;0;""
336;"p2";"FASY";304.5;-9;5.26;11.4;15.2;1;0;""
337;"p2";"FASY";318;-11;5.02;14.9;14.5;1;0;""
338;"p2";"FASY";306;-12;3.04;17.5;17.4;1;0;"ce8"
339;"p2";"FASY";309.5;-11.5;3.51;16.7;16.9;1;0;"ce8"
340;"p2";"FASY";275;-6;4;8.9;9.3;1;0;""
341;"p2";"FASY";305;-9;1.56;11.6;15.6;1;0;""
342;"p2";"FASY";367.5;-11.5;1.8;11.9;13.5;1;0;""
343;"p2";"PIAB";358;-13;5.15;30.2;19.3;1;0;""
344;"p2";"PIAB";373;-10;5.74;10.7;6.5;1;0;""
345;"p2";"FASY";372;-10;5.74;7.8;12.6;1;0;""
346;"p2";"FASY";381;-9;7.32;22.3;19.7;1;0;""
347;"p2";"PIAB";377;-11.5;10.57;20.3;17.3;1;0;""
348;"p2";"FASY";376;-13;13.03;7.7;10.3;1;0;""
349;"p2";"FASY";378;-12;14.01;14.3;18.3;1;0;"ce9"
350;"p2";"FASY";380;-12;14.08;12.5;17;1;0;"ce9"
351;"p2";"PIAB";369;-12;14.67;21.1;17.6;1;0;""
352;"p2";"FASY";365;-12;14.75;13.5;14.8;1;0;""
353;"p2";"PIAB";393.5;-10;14.3;15.5;13.3;1;0;""
354;"p2";"FASY";395;-10;13.63;20.1;17.8;1;0;"ce10"
355;"p2";"FASY";395.5;-10;13.55;13.2;18.3;1;0;"ce10"
356;"p2";"FASY";2.5;-8.5;13.06;14.7;17.7;1;1;"penche"
357;"p2";"ABAL";398.5;-8.5;11.76;11.6;12;1;0;""
358;"p2";"PIAB";392.5;-10;11.25;18.6;16.6;1;0;""
359;"p2";"FASY";397;-9;10.2;18.8;17.9;1;1;"nche"
360;"p2";"FASY";7;-9;8.03;15.4;16.9;1;0;""
361;"p2";"FASY";14;-7.5;8.24;11.8;16.9;1;0;""
362;"p2";"FASY";24;-6;13.08;20.8;20.2;1;0;""
363;"p2";"ABAL";23;-6;13.6;24;19.4;1;0;""
364;"p2";"ABAL";7.5;-8;14.3;8.5;6.8;1;0;""
365;"p2";"FASY";6;-8.5;14.37;16.4;18.6;1;0;""
366;"p2";"FASY";55;0;14.09;25;21;1;0;""
367;"p2";"FASY";51;0;13.51;14.7;14.4;1;0;""
368;"p2";"FASY";51;0;14.41;8;5.3;1;0;""
369;"p2";"PIAB";41;-2;11.85;18.6;16.5;1;0;""
