"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
67;"p2";"PIAB";15;-19.4;22.8228188393778;4.8;;1;0;"71.7azimut 40"
68;"p2";"FASY";25;-17.1;27.7247910866082;6.2;;1;0;"87.1"
69;"p2";"PIAB";16.5;-23.1;53.8898637309158;15.2;;1;0;"169.3"
70;"p2";"ABAL";56;-16.4;28.1385939386471;14.5;;1;0;"88.4"
71;"p2";"FASY";69;-12;13.8783110376133;13.9;;1;0;"43.6"
72;"p2";"FASY";72.5;-8.9;16.3929591384652;7.7;;1;0;"51.5"
73;"p2";"ABAL";61;-6;39.3749329209349;2.5;;1;0;"123.7"
74;"p2";"ABAL";99;3.6;29.6664813923293;5.5;;1;0;"93.2"
75;"p2";"ABAL";94;2.6;59.4284557505137;9.5;;1;0;"186.7"
76;"p2";"PIAB";94;2.6;17.3160578083982;11.4;;1;0;"54.4"
77;"p2";"FASY";89;-2;19.8625368978685;11;;1;0;"62.4"
78;"p2";"ABAL";95;0.5;17.2523958311615;14.3;;1;0;"54.2"
79;"p2";"PIAB";119.5;13.2;16.9340859449777;6;;1;0;"53.2"
80;"p2";"PIAB";136;20.2;14.8014097075463;6.8;;1;0;"46.5"
81;"p2";"FASY";152;24.2;10.3769022895916;6.9;;1;0;"32.6"
82;"p2";"ABAL";174.5;26.8;10.3769022895916;8.3;;1;0;"32.6"
83;"p2";"ABAL";169;26.8;18.4301424100415;11.7;;1;0;"57.9"
84;"p2";"FASY";186.5;25.8;9.39014164242183;15;;1;0;"29.5"
85;"p2";"PIAB";205;26.4;42.6853557372463;13.9;;1;0;"134.1"
86;"p2";"PIAB";210;28.3;50.2929620170389;10;;1;0;"158"
87;"p2";"ABAL";209.5;27.6;17.6980296718188;9.5;;1;0;"55.6"
88;"p2";"ABAL";186.5;28.3;8.91267681314614;4.6;;1;0;"28"
89;"p2";"PIAB";256;15.8;34.345636719231;1.5;;1;0;"107.9"
90;"p2";"ABAL";236;19.9;13.6236631286662;12.8;;1;0;"42.8"
91;"p2";"FASY";231;21.7;13.7191560945214;14.3;;1;0;"43.1"
92;"p2";"ABAL";239.5;19.3;9.96309943755265;13.4;;1;0;"31.3"
93;"p2";"ABAL";239.5;19.3;27.5338051548979;13.93;;1;0;"86.5"
94;"p2";"PIAB";268.5;9;32.0219745500893;12.9;;1;0;"100.6"
95;"p2";"ABAL";297;-1.9;19.480565034448;13.5;;1;0;"61.2"
96;"p2";"ACPS";307;-4;17.634367694582;14.8;;1;0;"55.4"
97;"p2";"ACPS";289;1.5;11.6183108457084;8.4;;1;0;"36.5ce1"
98;"p2";"ACPS";288.5;1.5;7.51211331393746;7.96;;1;0;"23.6ce1"
99;"p2";"ACPS";325;-10.4;19.3850720685929;7.6;;1;0;"60.9"
100;"p2";"SOAU";321;-9;31.1307068687747;13.9;;1;0;"97.8"
101;"p2";"PIAB";333;-13.4;22.2180300556286;14.2;;1;0;"69.8"
102;"p2";"ACPS";364;-18.4;12.8278884132068;4.9;;1;0;"40.3ce2"
103;"p2";"ACPS";374;-19.6;21.2949313856956;4.9;;1;0;"66.9ce2"
104;"p2";"PIAB";383;-24;12.4459165497862;8.8;;1;0;"39.1"
105;"p2";"ABAL";395;-24;14.0692969693235;12.1;;1;0;"44.2"
