"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
40;"p1";"ABAL";153.5;41;68.8;6.44;33.6;1;0;
41;"p1";"PIAB";109.5;37;12.7;6.97;9.3;1;0;
42;"p1";"PIAB";68;32;48.4;7.22;30.4;1;0;
43;"p1";"PIAB";40.5;20;11.8;8.13;9.9;1;0;
44;"p1";"PIAB";21;13;36.7;8.48;32.6;1;0;
45;"p1";"PIAB";27;8;46.4;10.64;32.7;1;0;
46;"p1";"ABAL";399;2;59.1;8.94;30.2;1;0;
47;"p1";"SOAU";382;-13;13.7;8.41;9.1;1;1;"p"
48;"p1";"PIAB";385;-13;25.5;4.4;19;1;0;
49;"p1";"PIAB";369;-20;10.9;2.98;9.9;1;0;
50;"p1";"PIAB";259;-15;28.8;2.2;20.2;1;0;
51;"p1";"PIAB";304;-31;8.2;4.51;6.8;3;0;"sec"
52;"p1";"PIAB";297;-28;24;6.1;20.4;1;0;
53;"p1";"PIAB";269;-19;19.2;6.63;16.3;1;0;
54;"p1";"ABAL";334;-37;13.5;7.8;15.4;1;0;
55;"p1";"PIAB";328;-33;43.7;9.54;31.9;1;0;
56;"p1";"PIAB";327;-32;10.4;9.95;7.1;1;0;
57;"p1";"PIAB";319.5;-27;11.2;12.44;7.8;1;0;
58;"p1";"FASY";296;-30;19.1;10.5;6;2;1;"renverse"
59;"p1";"PIAB";267;-8;52.5;14.05;29.3;1;0;
60;"p1";"FASY";219;3;14.9;7.95;14.2;1;0;
61;"p1";"PIAB";214;8;37.4;12.24;28.4;1;0;
62;"p1";"PIAB";224.5;10;57.6;14.83;32.9;1;0;
63;"p1";"PIAB";188.5;24;10.7;10.37;7.1;1;0;
64;"p1";"PIAB";176;33;57.2;13.17;35.4;1;0;
65;"p1";"PIAB";169;33;10.9;14.8;9.1;1;0;
66;"p1";"PIAB";121;38;48.4;13.43;30.2;1;0;
67;"p1";"PIAB";104;34;19.3;12.67;14.5;1;0;
68;"p1";"PIAB";102;31;41.6;13.84;31.1;1;0;
69;"p1";"PIAB";76;26;39;10.79;30.8;1;0;
70;"p1";"PIAB";76;23;54.6;14;31.4;1;0;
71;"p1";"ABAL";90;24;7.9;14.78;5.7;1;0;
72;"p1";"ABAL";390;-15;8.8;14.02;5.9;1;0;
73;"p1";"SOAU";375;-21;18.2;15.31;11.8;1;0;
74;"p1";"SOAU";355;-36;13.7;14.51;6.3;2;1;"renverse"
75;"p1";"PIAB";348;-33;28;13.69;16.1;1;0;
76;"p1";"FASY";338;-32;9.6;12.7;10.1;1;0;
