"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";896676.951;6449749.714;;;;;0
"p2";896710.002;6449801.63;"p1";40;0;60;0
"p3";896702.76;6449698.184;"p1";173.3;0;60;0
"p4";896603.211;6449747.743;"p1";306.6;0;60;0
"p3az";;;"p1";173.3;0;60;0
"p2az";;;"p1";40;0;60;0
"p4az";;;"p1";306.6;0;60;0
"p3GPS";896700.76;6449699.184;"p1";173.3;0;60;0
