"Num";"Pi";"Es";"Pen_gr";"Azim_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
164;"p3";"ABAL";34.7;339;2.7;51.2;22.9;1;0;""
165;"p3";"ABAL";27.7;332;12.9;17.2;13.4;1;0;""
166;"p3";"FASY";27;349.5;15.6;11.8;9.7;1;0;""
167;"p3";"ABAL";26.7;359;11.8;16.2;11.3;1;0;""
168;"p3";"ABAL";26.5;361;10;15.6;10.8;1;0;""
169;"p3";"ABAL";24.1;378;9.7;56.4;25;1;0;""
170;"p3";"PIAB";20;384;12.5;29.5;23.7;1;0;""
171;"p3";"ABAL";19.8;384;14.9;15.7;9.3;1;0;""
172;"p3";"ABAL";-1.5;39;14.5;18.4;7.9;2;0;"cc"
173;"p3";"PIAB";-7.6;53;8.9;27;18;1;0;""
174;"p3";"ABAL";-4.4;49;5.8;19.3;16;1;0;""
175;"p3";"ABAL";-9.2;63;4.6;12;14;1;0;""
176;"p3";"ABAL";-9.5;66;4.07;22.5;15.1;1;0;""
177;"p3";"FASY";-2;83;0.96;8.4;7.2;1;0;""
178;"p3";"PIAB";-15.3;75.5;8.9;40;23.7;1;0;""
179;"p3";"PIAB";-15.4;69;12.3;35.8;17.8;2;0;"cc"
180;"p3";"ABAL";-17.8;79.5;13.5;38.8;22.5;1;0;""
181;"p3";"FASY";-26.4;150.5;13.5;44.4;19.8;1;0;""
182;"p3";"PIAB";-24.6;175;12.3;22.8;13.4;1;0;""
183;"p3";"ABAL";23.6;292;6.5;15.6;11.5;1;0;""
184;"p3";"ABAL";20.6;278.5;8.9;13.1;11.3;1;0;""
185;"p3";"FASY";8.8;253;9.4;9.9;8.8;1;0;""
186;"p3";"ABAL";11.8;258;11.1;23.6;14.5;1;0;""
187;"p3";"ABAL";19.3;276;15.2;23.7;19.8;1;0;""
188;"p3";"ABAL";20.8;280;11.7;41.6;24.3;1;0;""
189;"p3";"ABAL";21.4;281.5;11.1;25.5;17.5;1;0;""
190;"p3";"PIAB";26.6;304;10.8;27.2;21.1;1;0;""
191;"p3";"ABAL";27.5;321;15.7;33.8;21.2;1;0;""
