"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p3";"ACPS";14;-4;27;3.5;17.6;1;0;"ce1"
2;"p3";"ACPS";16;-4;20;4.07;13.6;1;1;"ce1_pe"
3;"p3";"ACPS";27;-5;18;4.91;10.7;1;0;"ce1"
4;"p3";"ABAL";5;1;62;5.38;22;1;0;""
5;"p3";"FASY";9;-7;12;10.79;11.3;1;0;""
6;"p3";"ABAL";4.5;-6;22;13.85;14.6;1;0;""
7;"p3";"FASY";19;-9;18;9.72;9.4;1;0;"ce2"
8;"p3";"FASY";19;-9;11;10.09;7;1;0;"ce2"
9;"p3";"SOAR";68;-19;13;13.13;8.3;1;0;""
10;"p3";"FASY";72.5;-19;15;12.65;12.7;1;0;""
11;"p3";"FASY";84;-19;9;13.62;11.9;1;0;""
12;"p3";"FASY";85.5;-19;15;14.42;10.9;1;0;""
13;"p3";"FASY";111.5;-17.5;9;11.62;7.2;1;0;""
14;"p3";"FASY";120;-15;35;11.02;17.7;1;0;""
15;"p3";"FASY";124;-14.5;10;10.51;8.4;1;0;""
16;"p3";"PIAB";134;-12;51;7.66;22.5;1;0;""
17;"p3";"ABAL";129;-9;9;2.16;8.1;1;0;""
18;"p3";"FASY";117;-13;9;3;7.3;1;0;""
19;"p3";"ABAL";176;-6;8;9.4;5.1;1;0;""
20;"p3";"ACPS";179;-6;18;12.83;14.6;1;0;""
21;"p3";"PIAB";167.5;-9;42;13.13;19.9;1;0;""
22;"p3";"FASY";156;-11;9;13.39;6.9;1;0;""
23;"p3";"FASY";153.5;-11;9;13.3;8.4;1;0;""
24;"p3";"ACPS";143.5;-11;20;13.74;13.9;1;0;"ce3"
25;"p3";"ACPS";144;-11;21;14.12;9.8;1;0;"ce3"
26;"p3";"ACPS";144;-11;14;14.95;5.4;1;0;"ce3"
27;"p3";"ABAL";161;-9;14;14.95;8.6;1;0;""
28;"p3";"FASY";184;-5;30;14.39;16;1;0;"ce4"
29;"p3";"FASY";183;-5;22;14.5;7.8;1;1;"ce4_pe"
30;"p3";"FASY";183;-5;17;14.84;7.2;1;0;"ce4"
31;"p3";"FASY";216;4;28;13.73;17.2;1;0;"ce5"
32;"p3";"FASY";215;4;17;13.65;9.6;1;0;"ce5"
33;"p3";"PIAB";238;7;24;12.58;11.5;1;0;""
34;"p3";"ABAL";245;8;18;12.13;10.9;1;0;""
35;"p3";"PIAB";246.5;8;54;11.48;28.1;1;0;""
36;"p3";"PIAB";264;10;63;13.99;30.3;1;0;""
37;"p3";"PIAB";284;11.5;14;12.5;9.2;1;0;""
38;"p3";"ACPS";312;13;21;15.1;14;1;0;"ce6"
39;"p3";"PIAB";322.5;13.5;34;12.2;16.6;1;0;""
40;"p3";"FASY";294;13;13;2.68;9.7;1;0;""
41;"p3";"FASY";253.5;9;9;1.67;9.2;1;0;""
42;"p3";"FASY";201;1;18;6.78;10.6;1;0;"four1"
43;"p3";"FASY";203;1;17;7.48;7.5;1;0;"four2"
44;"p3";"FASY";218;5;12;9.28;11.4;1;0;""
45;"p3";"SOAU";354;9;7.5;2.01;9.3;1;0;""
46;"p3";"ACPS";350;8;10;12.29;11.4;1;1;"ce6-pe"
47;"p3";"ACPS";352;8;16;12.57;11.9;1;0;"ce6"
48;"p3";"ACPS";352;8;22;12.93;14.4;1;0;"ce6"
49;"p3";"ACPS";369;6;8;12.29;9.7;1;1;"ce7-pe"
50;"p3";"ACPS";370.45;6;9;12.26;7.9;1;0;"ce7"
51;"p3";"ACPS";368;8;19;13;17.2;1;0;"ce8"
52;"p3";"ACPS";369;8;29;13.26;18.4;1;0;"ce8"
53;"p3";"ACPS";372;8;8;13.58;8;1;0;"ce8"
54;"p3";"PIAB";371;7;56;14.09;26.8;1;0;""
