"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
192;"p1";"FASY";333;-10.5;6.51;11.2;16.2;1;1;"penche"
193;"p1";"ABAL";311;-9;4.24;16.6;13.5;1;0;""
194;"p1";"ABAL";327;-11;1.84;9.3;7.5;1;0;""
195;"p1";"FASY";392;-10;3.66;12.8;17.1;1;0;""
196;"p1";"FASY";384;-13;3.81;20.2;18;1;0;""
197;"p1";"ACPS";363;-11;5.45;19.1;20.1;1;0;""
198;"p1";"ABAL";359;-11;6.85;11.5;9.6;1;0;""
199;"p1";"FASY";353.5;-10;7.37;14.2;16.2;1;0;""
200;"p1";"ABAL";341;-12;9;17.9;12.6;1;0;""
201;"p1";"FASY";326;-12;12.1;14.1;16.3;1;0;""
202;"p1";"FASY";327;-12;12.1;22.8;17.3;1;0;""
203;"p1";"ABAL";330;-13;13.17;7.7;5.5;1;0;""
204;"p1";"FASY";330;-13;13.52;8.8;13.5;1;0;""
205;"p1";"PIAB";346;-14;15.15;33.2;19.1;1;0;""
206;"p1";"FASY";353;-15;11.55;7.6;10;1;0;""
207;"p1";"FASY";359;-14.5;14.32;8.2;11.6;1;0;""
208;"p1";"ABAL";358.5;-15;9.97;9.7;7.6;1;0;""
209;"p1";"FASY";366;-15;10.84;8.9;9;1;0;""
210;"p1";"FASY";365;-13.5;8.42;15.2;14.9;1;0;""
211;"p1";"FASY";370;-13;7.55;26.7;19;1;0;""
212;"p1";"FASY";18;-10;6.8;13.8;15.4;1;0;"ce6"
213;"p1";"FASY";18;-10;7.21;23.9;20.3;1;0;"ce6"
214;"p1";"FASY";20;-9;7.47;14.2;12.8;1;1;"penche"
215;"p1";"FASY";12;-11;7.65;20.3;15.5;1;0;""
216;"p1";"ABAL";1.5;-12;9.16;13.6;12.9;1;0;""
217;"p1";"ABAL";377;-14;12.31;15.6;11.5;1;0;""
218;"p1";"FASY";374;-14;15.05;25.6;19.5;1;0;""
219;"p1";"FASY";390;-13;13.58;22.4;18.4;1;0;""
220;"p1";"PIAB";390;-13;13.68;11.5;7.8;1;0;""
221;"p1";"PIAB";392;-13.5;15.23;14.7;15.4;1;0;""
222;"p1";"FASY";394;-14;12.25;18.6;20.8;1;0;"ce7"
223;"p1";"FASY";393;-14;12;17.8;18.8;1;0;"ce7"
224;"p1";"FASY";2;-12;13.6;8;11.5;1;0;""
225;"p1";"FASY";8.5;-11;14.31;21.9;20.7;1;0;""
226;"p1";"PIAB";8.5;-11;14.64;30.9;13.8;1;0;""
227;"p1";"FASY";24;-11;12.78;9.6;12.3;1;0;""
228;"p1";"FASY";19;-11.5;12.06;10.6;14.3;1;0;""
229;"p1";"PIAB";21;-11;11.44;8.2;6.1;1;0;""
230;"p1";"FASY";15.5;-11;11.18;15.6;18.4;1;0;""
231;"p1";"FASY";21.5;-11;9.95;17.2;18.8;1;0;""
232;"p1";"FASY";41;-8;13.8;13.1;16.9;1;0;""
233;"p1";"PIAB";35;-9;14.5;21.9;15.3;1;0;""
