"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
1;"p4";"PIAB";369;-3;2.87;39;28.2;1;0;""
2;"p4";"PIAB";322;-2;3.64;28.5;25.1;1;0;""
3;"p4";"FASY";348;-4;6.67;23.1;24.9;1;0;""
4;"p4";"ACPS";348;-4;7.945;9.3;14.4;1;0;""
5;"p4";"FASY";336;-3;9.34;27;26.8;1;0;""
6;"p4";"PIAB";353;-7;14.71;26.4;20.3;1;0;""
7;"p4";"PIAB";364;-6;13.21;19.6;12.5;1;0;""
8;"p4";"PIAB";371;-7;12.16;23.4;21.7;1;0;""
9;"p4";"PIAB";375;-7;13.36;13;10.9;1;0;""
10;"p4";"PIAB";380;-6.5;12.61;23.3;22.1;1;0;""
11;"p4";"PIAB";383;-6;12.92;22.6;22.6;1;0;""
12;"p4";"PIAB";389;-6;14.18;21.9;20.3;1;0;""
13;"p4";"ABAL";395;-5;11.58;33.8;24.6;1;0;""
14;"p4";"PIAB";394.5;-5;8.98;11.2;11.9;4;0;"sec"
15;"p4";"ABAL";388.5;-5;8.92;17.6;19;1;0;""
16;"p4";"FASY";9;-4;6.86;19.5;20.5;1;0;""
17;"p4";"PIAB";10;-4;7.92;13.5;13.9;1;0;""
18;"p4";"PIAB";10.5;-3;10.02;29.5;24;1;0;""
19;"p4";"FASY";12;-3;11.06;14.2;21.9;1;0;""
20;"p4";"ABAL";4;-4;12.9;45.5;29.6;1;0;""
21;"p4";"ABAL";39;1;10.11;36.7;28.4;1;0;""
22;"p4";"ABAL";28;0;7.43;50.1;29.9;1;0;""
23;"p4";"FASY";56;0;7.23;13.5;16.3;1;0;""
24;"p4";"FASY";62;2.5;8.08;21.5;23.1;1;1;"penche"
25;"p4";"ABAL";59;2;9.94;13.5;13.6;1;0;""
26;"p4";"PIAB";43;1;13.19;13.3;9.3;2;0;"sec"
27;"p4";"ABAL";40;0;14.51;27.4;24.9;1;0;""
28;"p4";"FASY";55;1;12.79;10.3;18.7;1;0;""
29;"p4";"ABAL";70;4;9.42;40.8;25.8;1;0;""
30;"p4";"PIAB";85;5;14.78;33.9;25.7;1;0;""
31;"p4";"ABAL";97;6;13.32;67;32;1;0;""
32;"p4";"ABAL";104;7;14.4;24.3;23.6;1;0;""
33;"p4";"FASY";92;5;11.12;21.9;23.2;1;0;""
34;"p4";"FASY";93;5;11.92;7.5;6.3;1;1;"penche"
35;"p4";"FASY";86;4.5;8.8;19.4;24.2;1;0;""
36;"p4";"FASY";94;2;3.43;10.8;7.3;1;1;"penche"
37;"p4";"ABAL";103;3;3.47;15.4;14.1;1;0;""
38;"p4";"FASY";97;0;1.54;9.4;17.8;1;0;""
39;"p4";"PIAB";118.5;6;2.67;20.8;19;1;0;""
40;"p4";"ABAL";130;6;4.47;44.7;27.4;1;0;""
41;"p4";"FASY";129;7;8;11.4;14.6;1;0;"ce1"
42;"p4";"FASY";126.5;7;8.06;18.4;26.3;1;0;"ce1"
43;"p4";"FASY";111;6;8.79;17.5;20.7;1;0;""
44;"p4";"PIAB";129;10;12.27;40.8;25.6;1;0;""
45;"p4";"PIAB";125;10.5;14.07;44.8;27.6;1;0;""
46;"p4";"ABAL";137;12.5;13.87;21.7;19.3;1;0;""
47;"p4";"ACPS";141;12.5;14.55;14.7;18.4;1;1;"penche"
48;"p4";"ABAL";164;13;12.84;10.2;9.2;1;0;""
49;"p4";"FASY";167;13;13.21;11.3;15.9;1;0;""
50;"p4";"ACPS";179;11;13.46;9.3;4.7;1;0;"casse"
51;"p4";"ACPS";187;11;13.15;14.7;19.1;1;0;""
52;"p4";"FASY";155;10;7;8.5;14.5;1;0;""
53;"p4";"ABAL";172;10;6.06;53.2;28.6;1;0;""
54;"p4";"ABAL";191;8;4.66;18.5;19.9;1;0;""
55;"p4";"ABAL";197;9;4.81;41.2;28.1;1;0;""
56;"p4";"ABAL";217;7;5.7;15.6;12.3;1;0;""
57;"p4";"ABAL";211;6;7.6;9.2;10.4;4;0;"sec"
58;"p4";"ABAL";206;7.5;9.44;50.2;28;1;0;""
59;"p4";"ABAL";203;9;13.95;18.7;16.5;1;0;""
60;"p4";"ABAL";198;10;15.06;16.5;14.7;1;0;""
61;"p4";"PIAB";216;6.5;12.11;8.9;6.1;1;0;""
62;"p4";"PIAB";228;6;11.28;10;5.7;1;0;""
63;"p4";"ABAL";223.5;7;8.96;20.2;17.5;1;0;""
64;"p4";"ABAL";234;8;4.88;47.4;27.6;1;0;""
65;"p4";"ABAL";242;5;6.04;18.4;13.7;1;0;""
66;"p4";"PIAB";261;5;7.94;24.5;21.9;1;0;""
67;"p4";"ABAL";272;1;6.68;8;6.6;1;0;""
68;"p4";"PIAB";281;0;6.24;18;16.9;1;0;""
69;"p4";"PIAB";279;1;7.82;19.9;19.7;1;0;""
70;"p4";"FASY";279.5;1;8.82;13.6;15.5;1;0;""
71;"p4";"FASY";270;2;13.43;12.2;14.6;1;0;""
72;"p4";"FASY";265;3;13.51;13;15.9;1;0;"ce2"
73;"p4";"FASY";266;3;13.77;12.7;18.9;1;0;"ce2"
74;"p4";"FASY";264;3;13.88;9.2;14.6;1;0;"ce2"
75;"p4";"PIAB";249;5;13.73;13.3;9.1;1;0;""
76;"p4";"FASY";289;0;13.83;15.5;22.5;1;0;"ce3"
77;"p4";"FASY";291;0;13.63;18.9;21.6;1;0;"ce3"
78;"p4";"FASY";316;-3;12.05;18.1;23.1;1;1;"penche"
79;"p4";"PIAB";322;-4;11.33;10.9;8.5;4;0;"sec"
80;"p4";"ABAL";324;-3;9.37;30.6;26;1;0;""
81;"p4";"ABAL";317.5;-3;8.57;12.2;14.3;1;0;""
82;"p4";"PIAB";321.5;-3;8.18;32.8;25.7;1;0;""
83;"p4";"PIAB";329;-3.5;12.4;46.6;26;1;0;""
