"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p1";"ACPS";8;-24;38.8338061144225;8.8;20.1;1;0;"122"
2;"p1";"ABAL";7;-25.4;62.7070475782068;15.7;23.7;1;0;"197"
3;"p1";"SOAR";32;-14.5;12.5732405042597;13.7;10.1;1;0;"39.5"
4;"p1";"ACPS";44;-10;13.1143673107722;13.7;9.9;1;0;"41.2"
5;"p1";"ABAL";45;-7;46.4732433828334;12.2;23.3;1;0;"146"
6;"p1";"ABAL";49;-8;9.5811275741321;14.1;6.9;1;0;"30.1"
7;"p1";"ABAL";58;-6;30.5577490736439;14;21.6;1;0;"96"
8;"p1";"ABAL";70;5;37.8788764558711;11.3;21.5;1;0;"119"
9;"p1";"ABAL";73;5.7;9.29464867656669;12.3;4.6;1;0;"29.2"
10;"p1";"ABAL";73;1.9;7.83042320012125;14.3;4.4;1;0;"24.6"
11;"p1";"ABAL";80;4.2;10.1859163578813;14.9;7.2;1;0;"32"
12;"p1";"ABAL";73;7.8;10.3132403123548;10;5.9;1;0;"32.4"
13;"p1";"ACPS";86.5;16.7;29.9211293012763;10.6;15.2;1;0;"94"
14;"p1";"ACPS";81.5;19.4;9.29464867656669;14.1;8.2;1;0;"29.2ce1"
15;"p1";"ACPS";79;25.3;38.3563412851468;5.3;16.8;1;0;"120.5ce1"
16;"p1";"ACPS";90.5;23.3;38.6746511713306;4.9;20.8;1;0;"121.5e1"
17;"p1";"ACPS";87;21.4;12.8278884132068;5.8;9.6;1;0;"40.3ce1"
18;"p1";"ACPS";95;22.1;10.0267614147894;5.6;12.1;1;0;"31.5ce1"
19;"p1";"ABAL";104;27.1;35.014087480217;9.8;19.8;1;0;"110"
20;"p1";"ABAL";102;21.9;9.54929658551372;12.9;4.7;1;0;"30"
21;"p1";"PIAB";99;18.8;17.9845085693842;15;13.5;1;0;"56.5"
22;"p1";"PIAB";131;33.4;37.7197215127792;16.9;18.2;1;0;"118.5"
23;"p1";"ABAL";173;35.7;19.5760580003031;14.6;11.9;1;0;"61.5"
24;"p1";"ABAL";171;35.4;38.8338061144225;15.3;20;1;0;"122"
25;"p1";"ABAL";174;35.8;35.014087480217;15.2;17.7;1;0;"110"
26;"p1";"ABAL";207.5;29.3;31.8309886183791;13.1;17.9;1;0;"100"
27;"p1";"SOAU";214.5;27;8.33971901801532;13.7;9.3;1;0;"26.2"
28;"p1";"ABAL";254.5;4.8;25.783100780887;12.4;15.7;1;0;"81"
29;"p1";"PIAB";254;6.3;58.5690190578175;12.9;23.5;1;0;"184"
30;"p1";"ABAL";271;-6;8.27605704077856;7;5.2;1;0;"26"
31;"p1";"ABAL";278;-11;9.32647966518507;6.4;6.4;1;0;"29.3"
32;"p1";"PIAB";291;-16.8;50.9295817894065;8.1;26;1;0;"160"
33;"p1";"SOAU";288;-17;12.095775674984;8.8;9.5;1;0;"38"
34;"p1";"SOAU";290;-16;8.27605704077856;9.4;6.3;1;0;"26"
35;"p1";"SOAU";290;-17;11.7774657888003;9.2;6.9;1;0;"37"
36;"p1";"ABAL";308;-24;36.7647918542278;8.2;23.9;1;0;"115.5"
37;"p1";"ABAL";316.5;-30.6;28.3295798703574;11.4;19.4;1;0;"89"
38;"p1";"ABAL";324;-30.7;24.35070629306;16.5;17.6;1;0;"76.5"
39;"p1";"ABAL";340;-35.3;52.5211312203255;14.8;24.2;1;0;"165"
40;"p1";"ABAL";343;-35.6;7.95774715459477;15.3;6.9;1;0;"25"
41;"p1";"ABAL";361;-36.9;8.27605704077856;16.8;6.6;1;0;"26"
42;"p1";"ACPS";363;-37.2;16.711269024649;17.1;11.3;1;1;"52.5tres penche"
43;"p1";"ACPS";361;-37.1;14.3239448782706;17.8;12.5;1;0;"45"
44;"p1";"ACPS";376.5;-35;13.8464800489949;11.5;11.2;2;0;"43.5cc"
45;"p1";"ACPS";383;-33;9.70845152860562;11.5;9.7;1;0;"30.5"
46;"p1";"ACPS";384;-32.7;21.326762374314;12.3;9.1;2;0;"67cc"
47;"p1";"ACPS";388;-31.5;35.014087480217;11.5;19.6;1;0;"110"
48;"p1";"ACPS";385;-31.3;35.4915523094927;11.3;18.3;1;0;"111.5"
49;"p1";"ABAL";378;-36;10.2495783351181;9.5;5.7;1;0;"32.2"
50;"p1";"ACPS";378;-30;17.1887338539247;3.5;10;1;1;"54penche"
51;"p1";"ACPS";397.5;-25.7;24.8281711223357;4.8;14.5;1;1;"78penche"
