"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
73;"p4";"PISY";317.5;26.5;31.9;1.7;16.1;1;0;""
74;"p4";"PISY";323;26;34.9;2.86;18.4;1;0;""
75;"p4";"PISY";273;27;26.3;3.01;10.6;3;0;"sec avec branches"
76;"p4";"PIAB";300;28;14.7;4.37;8.5;1;0;""
77;"p4";"PIAB";286;26;10.9;4.91;7.5;1;0;""
78;"p4";"PRAV";290.5;27;15.7;6.19;16.2;1;0;""
79;"p4";"ACPS";312;27;9.5;9.84;14.6;1;0;""
80;"p4";"ULsp";299;28;11;10.83;10.8;1;0;""
81;"p4";"SOAR";306;29;12;15.38;8.8;1;0;""
82;"p4";"PISY";305;28;41.7;15.6;23;1;0;""
83;"p4";"PISY";317;26.5;34.5;13.8;14;1;0;""
84;"p4";"ACPS";318;26.5;11.8;13.38;8.5;1;0;""
85;"p4";"PISY";330;26;28.4;11.55;13.3;1;0;""
86;"p4";"FASY";339;24;9.5;7.58;12.3;1;0;""
87;"p4";"PIAB";335;25;19.5;5.11;13.3;1;0;""
88;"p4";"PISY";363.5;17;24.5;8.66;10.2;3;0;"sec avec branches"
89;"p4";"PISY";364.5;17;36;9.56;20.2;1;0;""
90;"p4";"PISY";352;20;26.6;10.4;9.6;1;0;""
91;"p4";"ACPS";364;16.5;9.7;10.4;11.5;4;0;"sec"
92;"p4";"ACPS";364;16.5;10.8;10.55;12.1;4;0;"sec"
93;"p4";"PISY";359;18.5;26.1;12.27;18.3;1;0;""
94;"p4";"PISY";368;15;18.7;11.76;7.9;4;0;"sec"
95;"p4";"PISY";370.5;14;33.1;13.54;15.6;1;0;""
96;"p4";"FASY";365;16;8.5;14.74;10.2;1;0;""
97;"p4";"PISY";360.5;18;17.2;14.1;12.2;1;0;"sec"
98;"p4";"PISY";356;19.5;30.2;14.73;14.1;1;0;""
99;"p4";"PISY";346;23;29.7;15.75;13.2;1;0;""
100;"p4";"ACPS";373;13.2;10.3;14;13.2;1;0;""
101;"p4";"PISY";373.3;13.2;16;15;9.2;1;0;""
102;"p4";"PISY";382.5;8;28.5;14.77;9.4;1;0;""
