"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p2";"PIAB";194;0;47.8;2.97;29.7;1;0;""
2;"p2";"ABAL";165.5;4;17.5;2.83;16.4;1;0;""
3;"p2";"ABAL";133;12;60.2;4.33;34;1;0;""
4;"p2";"ABAL";183;0.5;55.2;4.47;32.2;1;0;""
5;"p2";"ABAL";179;-1;8.6;6.61;6.2;1;0;""
6;"p2";"ABAL";202;-7;16.2;6.39;12.8;1;0;""
7;"p2";"PIAB";217;-10;22.7;6.9;18;1;0;""
8;"p2";"PIAB";217.5;-11;32.4;9.11;30.7;1;0;""
9;"p2";"PIAB";213.5;-11;33.2;10.79;31.5;1;0;""
10;"p2";"PIAB";234;-12;38.9;12.73;30.9;1;0;""
11;"p2";"PIAB";220;-10.5;55.5;14.18;33;1;0;""
12;"p2";"PIAB";199;-8;14.2;13.93;11.6;1;0;""
13;"p2";"ABAL";174.5;-1;15.4;14.03;11.1;1;0;""
14;"p2";"ABAL";162.5;1;12.2;13.47;9.2;1;0;""
15;"p2";"PIAB";167;1;38;11.42;31.4;1;0;""
16;"p2";"PIAB";184.5;-3;50.9;10.24;31.9;1;0;""
17;"p2";"PIAB";149;5;23.2;11.69;22.8;1;0;""
18;"p2";"ABAL";146.5;6;27.8;12.56;27.2;1;0;""
19;"p2";"PIAB";110;11;32.3;12.23;26.9;1;0;""
20;"p2";"PIAB";92.5;12.5;40.3;15.16;30;1;0;""
21;"p2";"PIAB";72;13.5;43.5;14.14;28.7;1;0;""
22;"p2";"PIAB";64;13;24;12.8;18.6;1;0;""
23;"p2";"PIAB";45.5;15.5;63;8.06;33.7;1;0;""
24;"p2";"FASY";37;13.5;9;8.47;9.8;1;0;""
25;"p2";"PIAB";36;14;48;12.91;31.4;1;0;""
26;"p2";"PIAB";8.5;10;58.4;12.74;31;1;0;""
27;"p2";"PIAB";378;4;66.6;13.3;33.1;2;0;"foudre"
28;"p2";"PIAB";373.5;2.5;37.9;7.9;28.6;1;0;""
29;"p2";"PIAB";357;-1;29.9;7.76;24;1;0;""
30;"p2";"ABAL";333.5;-6;43.7;11.13;31.5;1;0;""
31;"p2";"PIAB";320;-9;52;12.29;31.8;1;0;""
32;"p2";"PIAB";275;-15;22;13.96;12.5;1;0;""
33;"p2";"PIAB";256;-15;47.3;11.89;33.7;1;0;""
34;"p2";"ABAL";257;-16;10.7;7.28;7;1;0;""
