"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
53;"p2";"PIAB";317.5;14;48.3;3.99;32.8;1;0;"66.3"
54;"p2";"ABAL";318;14;45.8;9.22;28.9;1;0;"58"
55;"p2";"PIAB";387;4;40.3;8.74;31.5;1;0;"52.9"
56;"p2";"PIAB";392;4;29.1;11.51;28.4;1;0;"40.4"
57;"p2";"ABAL";374;7.5;16.9;13.1;10.5;1;0;
58;"p2";"ABAL";377;6;19.5;14.92;14.3;1;0;
59;"p2";"PIAB";385;5;45.2;14.03;31.5;1;0;"59.9"
60;"p2";"PIAB";14;0;48.5;12.71;31.1;1;0;"64.9"
61;"p2";"PIAB";25;-3;42.9;7.35;32.6;1;0;"56.4"
62;"p2";"PIAB";29;-4;36.2;11.8;28.8;1;0;"49.9"
63;"p2";"PIAB";43;-7;32.5;6.93;28.1;1;0;"41"
64;"p2";"ABAL";34;-3;9.9;3.1;6.4;1;0;
65;"p2";"PIAB";75;-8;48.3;4.05;32.7;1;0;"70"
66;"p2";"PIAB";94;-11;55;7.83;33.9;1;0;"Souche,90"
67;"p2";"PIAB";136;-10;43.3;4.38;29.4;1;0;"54.7"
68;"p2";"PIAB";124;-12;47.4;9.49;31.6;1;0;"61.1"
69;"p2";"PIAB";136;-12.5;23.1;11.22;19.8;1;0;
70;"p2";"PIAB";166;-9;10.2;14.93;4.7;1;0;
71;"p2";"ABAL";174;-9;13.1;14.78;8.9;1;0;
72;"p2";"ACPS";176;-5;13.2;9.71;9.8;1;1;"penche"
73;"p2";"PIAB";184;-3;52.5;9.8;35.5;1;0;"69.2"
74;"p2";"ABAL";210;0;12.8;14.36;2.05;4;0;"mort"
75;"p2";"PIAB";194;-2;35.6;4.97;29;1;0;"47.4"
76;"p2";"PIAB";232;7;40.5;10.04;29.7;1;0;"57"
77;"p2";"ABAL";245.5;8;15.7;12.14;10.9;1;0;
78;"p2";"ABAL";290;19;26.5;14.06;2.6;4;0;"mort"
79;"p2";"PIAB";252.5;9;48;5.64;31.2;1;0;"Souche 79"
