"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";896676.635;6452735.304;;;;;0
"p2";896659.606;6452678.403;"p1";222;0;60;0
"p3";896634.177;6452777.996;"p1";355.3;0;60;0
"p4";896733.524;6452750.487;"p1";88.7;0;60;0
"p2az";;;"p1";222;0;60;0
"p3az";;;"p1";355.3;0;60;0
"p4az";;;"p1";88.7;0;60;0
