"Num";"Pi";"Es";"Pen_gr";"Azim_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
57;"p2";"ABAL";-18.5;129.5;7.9;35.8;21.6;1;0;"on est sur la piste"
58;"p2";"FASY";-22.2;140.5;8.5;10.4;11.1;1;0;""
59;"p2";"PIAB";-16.7;169;15.3;63.2;30.9;1;0;""
60;"p2";"ABAL";-16.8;179;13.8;37.8;25.7;1;0;""
61;"p2";"ABAL";-16.8;179;13.13;9.2;4.7;4;0;"sec"
62;"p2";"ACPS";11.3;275;14.3;12.8;13.8;1;0;""
63;"p2";"ACPS";11.3;275;14.59;15.6;14.1;1;0;""
64;"p2";"ABAL";23.2;298;13.3;39.4;23.4;1;0;""
65;"p2";"FASY";16.2;285;10.5;17.9;14;1;0;""
66;"p2";"FASY";14.7;282;10.1;16.5;10.2;2;0;"cc"
67;"p2";"ABAL";30.5;315;10.7;10.1;5.8;1;0;""
68;"p2";"ABAL";32.6;323.5;10.6;9.3;7.1;1;0;""
69;"p2";"ABAL";30.8;319;13.1;27.7;16.7;1;0;""
70;"p2";"ABAL";34.5;338;11.4;16.5;12.5;1;0;""
71;"p2";"ABAL";35.9;358;14.1;19.5;12.7;1;0;""
72;"p2";"ABAL";36.8;363;11.6;8.2;5.2;1;0;""
73;"p2";"FASY";38.2;356;8.8;13;14.2;1;0;"ce1"
74;"p2";"FASY";37.9;354;8.4;20.3;15.8;1;0;"ce1"
75;"p2";"FASY";36.9;350;8.6;11.4;10.9;1;0;"ce1"
76;"p2";"FASY";36;376;13.2;11.2;11.6;1;0;"ce2"
77;"p2";"FASY";35.9;377;13.1;9.4;12.2;1;0;"ce2"
78;"p2";"FASY";35.6;379;13;17.9;15.5;1;0;"ce2"
79;"p2";"FASY";32;2.5;10.2;18.3;6;2;0;"ce3_cc"
80;"p2";"FASY";31.9;8;10.2;28.9;20;1;0;"ce3"
81;"p2";"FASY";27.7;17;15.2;24.6;18;1;0;""
82;"p2";"ABAL";22.4;28;14.6;20.7;12.3;1;0;""
83;"p2";"ABAL";21.7;35;8.9;17.2;10.4;1;0;""
84;"p2";"ABAL";13.2;50;11.7;17;12.9;1;0;""
85;"p2";"ABAL";12.4;50.5;13.1;9;5.7;1;0;""
86;"p2";"FASY";13.2;50;13.4;23.5;18.8;1;0;""
87;"p2";"PIAB";-15.2;109;14.2;48.9;28.1;1;1;"penche"
