"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";900412.913;6441085.594;;;;;
"p2";900416.8;6441044.163;1;201;0;60;
"p3";900361.563;6441128.11;1;334.333333333333;0;60;
"p4";900471.37;6441131.415;1;467.666666666667;0;60;
"pt1";900417;6441100;;;;;
"pt2";900416.057560961;6441040.00740205;1;201;0;60;
"pt3";900365.516105657;6441130.81247512;1;334.333333333333;0;60;
"pt4";900469.426333382;6441129.18012283;1;467.666666666667;0;60;
"GPS1";900412.913;6441086.094;;;;;
"GPS2";900416.8;6441044.163;;;;;
"GPS3";900361.563;6441128.11;;;;;
"GPS4";900466.87;6441137.415;;;;;
