"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
130;"p3";"FASY";19;-1;33.6;2.34;23.5;1;0;
131;"p3";"FASY";43;7;11.5;7.7;13.3;1;0;
132;"p3";"FASY";30.5;7;9.3;12.35;14.4;1;0;
133;"p3";"FASY";25.5;6;20.7;12.65;19.9;1;0;
134;"p3";"ABAL";27.5;8;34.3;13.55;23.4;1;0;
135;"p3";"FASY";14;-2;14.3;11.87;16.5;1;0;
136;"p3";"FASY";6.5;-2.5;23.5;14.14;25.4;1;0;
137;"p3";"ABAL";399;-5.5;20.3;14.9;14.3;1;0;
138;"p3";"FASY";397;-8;9.8;13.9;8.3;1;0;
139;"p3";"FASY";396;-10;12.1;13.37;8.6;1;0;
140;"p3";"FASY";374;-20;15.5;14.42;13.6;1;0;
141;"p3";"FASY";10;-10;10.8;7.23;9;1;0;
142;"p3";"FASY";372;-21;32.2;4.69;22.8;1;0;
143;"p3";"ABAL";337;-24;27.9;4.13;24.8;1;1;"p"
144;"p3";"ABAL";328.5;-24;29.2;4.67;20.3;1;0;
145;"p3";"ABAL";318;-23;10.1;4.47;4.8;1;0;
146;"p3";"FASY";333;-31;7.5;11.18;8;1;0;
147;"p3";"ABAL";317.5;-28;43;12.62;28;1;0;
148;"p3";"FASY";342;-28.6;10.3;16.2;11.2;1;0;
149;"p3";"FASY";309;-26.7;7.5;11;7.7;1;0;
150;"p3";"PIAB";288;-19;34;13.13;25.5;1;1;"p"
150.5;"p3";"ABAL";274;-15;;10.85;26.45;1;0;"oubli rajout 2022, hauteur lidar 201X"
151;"p3";"FASY";271;-15;11.5;14.8;15.1;1;0;
152;"p3";"PIAB";260.5;-11;26.5;14.03;24;1;0;
153;"p3";"FASY";241;0;14;12.86;9.7;1;0;
154;"p3";"FASY";239;1;27.3;13.34;20.7;1;0;
155;"p3";"ABAL";233;7;15.9;10.11;12.7;1;0;
156;"p3";"ABAL";230;8;8.6;9.24;4.9;1;0;
157;"p3";"ABAL";224.5;8.5;10.8;12.5;7.2;1;0;
158;"p3";"FASY";220;11;21.7;10.6;19.3;1;0;
159;"p3";"FASY";211.5;15;39.9;9.94;26.5;1;0;
160;"p3";"ABAL";201;19;13.4;13.64;9.1;1;0;
161;"p3";"FASY";193;22;24.3;13.43;21.7;1;0;
162;"p3";"ABAL";183;26.6;11.9;11.7;8.2;1;0;
163;"p3";"ABAL";184;27;14.9;10.42;11.4;1;0;
164;"p3";"ABAL";179;28;31.4;12.45;23;1;0;
165;"p3";"ABAL";165;30.8;14.2;16.7;11.2;1;0;
166;"p3";"ABAL";154;33;49.2;15.5;25.9;1;0;
167;"p3";"ACPS";159;32;25.58;12.2;20.8;1;0;
168;"p3";"ACPS";160;32;34;11.1;22.6;1;0;
169;"p3";"ACPS";163;32;17.2;10.76;18.6;1;0;
170;"p3";"FASY";156;33;18.2;9.38;17.5;1;0;
171;"p3";"ABAL";139;32;22.8;10.83;13.1;1;0;
172;"p3";"ABAL";133.5;31;14.1;13.09;11.8;1;0;
173;"p3";"FASY";120.5;29;18.9;12.54;18.6;1;0;
174;"p3";"FASY";122.5;29.5;15.6;15.91;14.6;1;0;
175;"p3";"FASY";90;26;35.9;15.47;15.5;1;0;
176;"p3";"FASY";87;24.5;18.8;14.07;11;1;0;
177;"p3";"FASY";56;18.4;8;15.2;10.1;1;0;
178;"p3";"FASY";74.5;23.2;42.1;9.9;19.5;1;0;
179;"p3";"ABAL";157;33;24.7;7.04;18;1;0;
180;"p3";"FASY";171;34;17.6;7.03;14.9;1;0;
181;"p3";"FASY";182;34;24.4;4.44;26.3;1;0;
182;"p3";"ABAL";149;34;9.3;3.9;5.6;1;0;
183;"p3";"FASY";189;37;30.1;3.56;24.9;1;0;
184;"p3";"FASY";224;24;17;4.4;17;1;0;
185;"p3";"FASY";219.5;25;9;3.45;12.1;1;0;
186;"p3";"FASY";231;24;25.9;2.95;19.8;1;0;
187;"p3";"ABAL";260.5;8;12.2;2.84;6.5;1;0;
188;"p3";"ABAL";272;-2;24.8;4.48;18.3;1;0;
189;"p3";"ACPS";293;-2;11.8;1.83;14.3;1;0;
190;"p3";"ACPS";289.5;-2;9;2.1;6.6;1;0;
