"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";903048.426406871;6457408.92640687;;;;;0
"p2";903006;6457367;;;0;60;0
"p3";903033.86692084;6457462.37381746;;;0;60;0
"p4";903106.373817464;6457391.86692084;;;0;60;0
"p1t";903050.426406871;6457410.42640687;;;;;0
"p2t";903008;6457368;;;0;60;0
"p3t";903034.86692084;6457468.37381746;;;0;60;0
"p4t";903108.373817464;6457394.86692084;;;0;60;0
