"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";900561.279;6439626.116;;;;;0
"p2";900616.021;6439641.937;"p1";85;0;60;0
"p3";900552.96;6439570.139;"p1";218;0;60;0
"p4";900519.119;6439664.135;"p1";351;0;60;0
"p2az";;;"p1";85;0;60;0
"p3az";;;"p1";218;0;60;0
"p4az";;;"p1";351;0;60;0
