"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p4";"FASY";110;40;10.3;3.22;10.3;1;1;"p"
2;"p4";"FASY";97;38;12.3;3.25;8.5;1;0;
3;"p4";"FASY";140;37;21.8;3.5;13.1;1;0;
4;"p4";"FASY";111;36;11.8;5.58;13.1;1;0;
5;"p4";"FASY";114;35;10.8;6.13;11.4;1;0;
6;"p4";"FASY";106.5;37;13.9;5.93;11.5;1;1;"p"
7;"p4";"ABAL";99;35;13.2;6.32;7.8;1;0;
8;"p4";"PIAB";88.5;36;16.1;7.7;12.5;1;0;
9;"p4";"FASY";92.5;37;15.3;9.03;11.6;1;0;
10;"p4";"FASY";94.5;37;28.3;8.83;17.3;1;0;
11;"p4";"FASY";99;38;21.3;10.14;16;1;0;
12;"p4";"FASY";121;37;18.4;9.4;14.4;1;0;
13;"p4";"FASY";129.5;36;21.5;13.16;16.3;1;0;
14;"p4";"FASY";129;36;16.8;13.4;15.6;1;0;
15;"p4";"FASY";131;36;16.1;13.36;15.3;1;0;
16;"p4";"ABAL";130;36;45.8;15.4;21.3;1;0;
17;"p4";"ABAL";133.5;36;18.4;15.22;8.8;1;0;
18;"p4";"ABAL";140;33;7.6;16.5;6;1;0;
19;"p4";"FASY";146.5;30.5;12.2;15.8;11.9;1;0;
20;"p4";"FASY";161.5;25.8;8.5;12.9;12.4;1;0;
21;"p4";"FASY";165;25;15.6;12.17;15.3;1;0;
22;"p4";"ABAL";156;29;31.7;10.6;20.6;1;0;
23;"p4";"ABAL";159;29;44.9;9.34;21.4;1;0;
24;"p4";"ABAL";157;29;16;9.07;9;1;0;
25;"p4";"FASY";158;29;18.3;8.56;17.9;1;0;
26;"p4";"FASY";169;24;8.2;10.55;8.5;1;0;
27;"p4";"FASY";175;21;11.4;10.31;8.6;1;1;"p"
28;"p4";"FASY";176.5;20;17;8.17;15.9;1;0;
29;"p4";"FASY";174;23;24.9;6.22;17;1;0;
30;"p4";"FASY";192;14;16.1;6;15.6;1;0;
31;"p4";"FASY";193;12;17;6.2;14;1;0;
32;"p4";"ABAL";199;7;36.7;10.75;19.8;1;0;
33;"p4";"FASY";201;4;18.9;12.32;17.8;1;0;
34;"p4";"FASY";206;1;22.7;12.34;19.2;1;0;
35;"p4";"ABAL";219;-7;36.8;11.98;19.6;1;0;
36;"p4";"ABAL";222;-10;9.2;10.4;5;1;0;
37;"p4";"FASY";233;-15;26.3;9.9;19.3;1;0;
38;"p4";"FASY";230;-14;11.9;8.07;14.3;1;0;
39;"p4";"FASY";245;-21;15.7;8.71;16.9;1;0;
40;"p4";"ABAL";244;-20;27.3;9.52;16;1;0;
41;"p4";"FASY";246;-22;26.8;12.5;18.6;1;0;
42;"p4";"FASY";254;-26.6;12.9;16.1;18.2;1;0;
43;"p4";"FASY";257;-27.5;19.6;16.3;18;1;0;
44;"p4";"FASY";261;-28;17.7;15.68;18.2;1;0;
45;"p4";"FASY";262;-29;10.6;15.86;12;1;0;
46;"p4";"FASY";262;-29;11.9;12.42;11.3;1;0;
47;"p4";"FASY";272;-33;22.5;12.43;21.4;1;0;
48;"p4";"FASY";273;-32;21.4;10.95;17.4;1;0;
49;"p4";"FASY";272.5;-32;12.5;10.67;11.9;1;0;
50;"p4";"FASY";290;-34.5;12;11.12;13.2;1;0;
51;"p4";"FASY";291;-35;10.5;11.29;10.6;1;0;
52;"p4";"ABAL";291;-35;7.8;11.6;4.5;1;0;
53;"p4";"ABAL";299.5;-36.2;45.5;15.1;24.6;1;0;
54;"p4";"FASY";295;-35.8;11.6;17.5;8.1;1;0;
55;"p4";"FASY";312;-36.5;10.1;12.63;11.8;1;0;
56;"p4";"FASY";319;-36.5;11.6;13.83;10.6;4;0;"mort"
57;"p4";"FASY";324;-37;22.7;14.03;20;1;0;
58;"p4";"PIAB";335.5;-34;31.8;9;21.6;1;0;
59;"p4";"PIAB";336.5;-33.5;26;15.9;21.3;1;0;
60;"p4";"ABAL";348;-32;27.9;13.26;18.5;1;0;
61;"p4";"ABAL";361;-28;13.2;14.28;8.7;1;0;
62;"p4";"FASY";360;-32;24;15.34;18.1;1;0;
63;"p4";"FASY";359;-29;13.5;15.7;13.5;1;0;
64;"p4";"FASY";360.5;-28.5;18.7;16.5;14;1;0;
65;"p4";"FASY";364;-27;11.7;16.05;11.6;1;0;
66;"p4";"ABAL";373;-25;36.9;14.38;22.6;1;0;
67;"p4";"ABAL";379;-22;33;15.7;21.7;1;0;
68;"p4";"FASY";394;-11;15.7;11.88;16.5;1;0;
69;"p4";"FASY";386;-14;18.6;10;17;1;0;
70;"p4";"FASY";384;-15;19.8;9.1;13.2;1;0;
71;"p4";"PIAB";395;-9;7.5;6.03;5.2;1;0;
72;"p4";"FASY";382;-15;22.5;5;17.9;1;0;
73;"p4";"ABAL";365;-24;16.8;8.25;12.4;1;0;
74;"p4";"FASY";355.5;-28;7.6;9.04;9;1;0;
75;"p4";"FASY";344;-31;10.8;6.22;13.1;1;0;
76;"p4";"FASY";345.5;-31;16.2;6.7;16.3;1;0;
77;"p4";"FASY";324;-32.5;17.7;4.2;12.9;1;0;
78;"p4";"FASY";313;-34;9.9;4.12;8.8;1;0;
79;"p4";"FASY";320;-32.5;15.8;3.38;14.3;1;0;
80;"p4";"FASY";375;-11;26.1;1.58;17.3;1;0;
81;"p4";"FASY";325;-34;21.8;8.08;17.7;1;0;
82;"p4";"ABAL";322;-34;7.7;8.52;4.4;1;0;
83;"p4";"FASY";312;-36;10;8.19;8.6;1;0;
84;"p4";"FASY";298;-36;20.5;9.09;18.7;1;0;
85;"p4";"FASY";298;-36;11.8;10.38;9.5;1;0;
86;"p4";"FASY";285.5;-35;13.5;6.57;13.6;1;0;
87;"p4";"ABAL";287;-34.5;14.9;5.67;8.4;1;0;
88;"p4";"FASY";276;-33.5;9.4;7.94;9.7;1;0;
89;"p4";"PIAB";266;-31;20.7;3.9;14.3;1;0;
90;"p4";"FASY";252;-23;13.5;5.33;10.8;1;0;
91;"p4";"FASY";223.5;-3;19.5;3.5;12.4;1;0;
92;"p4";"PIAB";209;2;17.9;5.87;11.1;1;0;
93;"p4";"PIAB";181;24;25.4;2.9;20.5;1;0;
94;"p4";"FASY";197;14;13.6;2.4;13.1;1;0;
95;"p4";"FASY";270;-20;19.3;1.23;13.6;1;0;
96;"p4";"FASY";274;-23;18;1.53;9;1;0;
97;"p4";"FASY";23;13;12.6;5.53;9.3;1;0;
98;"p4";"FASY";8;2;22;7;17.1;1;0;
99;"p4";"FASY";5;-2;25.4;10.58;18.9;1;0;
100;"p4";"ABAL";12;0;18;12.08;11.1;1;0;
101;"p4";"FASY";12;0;12.3;13.3;14;1;0;
102;"p4";"FASY";12;0;19.7;13.9;18.5;1;0;
103;"p4";"ABAL";4;-4;13.5;14.28;7.4;1;0;
104;"p4";"ABAL";15;2.4;15.1;14.1;11.3;1;0;
105;"p4";"FASY";29;10;22.4;13.5;20.6;1;0;
106;"p4";"FASY";28;10;12.8;13.38;12.8;1;0;
107;"p4";"ABAL";33;14;29.2;11.44;18.9;1;0;
108;"p4";"FASY";29;13;16.5;10.19;17.4;1;0;
109;"p4";"ABAL";23;9;9.5;10.19;4.8;1;0;
110;"p4";"ABAL";19;6.5;32;10.9;21;1;0;
