"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";898991.5;6453601.5;;;;;0
"p2";898975.958980337;6453659.06339098;;;0;60;0
"p3";899052.195379737;6453588.55602967;;;0;60;0
"p4";898947.32882254;6453557.93233794;;;0;60;0
"p2GPS";898984.852;6453676.131;;;0;60;0
"p4GPS";898946.162;6453558.432;;;0;60;0
"p1t";898993;6453602;;;;;0
"p2t";898974.458980337;6453659.06339098;;;0;60;0
"p3t";899051.695379737;6453589.55602967;;;0;60;0
"p4t";898952.82882254;6453557.43233794;;;0;60;0
