"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p1";"SOAU";10;16.3;13.8464800489949;4.3;8.5;1;0;"43.5"
2;"p1";"SOAU";6;11.5;8.14873308630504;10.9;4.5;1;0;"25.6"
3;"p1";"PIAB";4.5;10.1;27.6929600979898;13.7;15.8;1;0;"87"
4;"p1";"ACPS";20;14.6;32.9450732200223;12.9;14.8;1;0;"103.5"
5;"p1";"PIAB";32;19.7;60.4470473863019;8.4;22.5;2;0;"casse189.9"
6;"p1";"SOAU";47.5;21.9;7.95774715459477;2.8;10.5;1;0;"25"
7;"p1";"SOAU";61;24.2;9.39014164242183;5.8;6;1;0;"29.5"
8;"p1";"SOAU";63;21.5;8.91267681314614;7.8;8.7;1;0;"28"
9;"p1";"PIAB";78;20.7;44.5315530771123;14.7;24.8;1;0;"139.9"
10;"p1";"ABAL";107;17.1;62.2295827489311;14.5;25.8;1;0;"195.5"
11;"p1";"SOAU";112;15;9.80394449446075;11.9;8.4;1;0;"30.8"
12;"p1";"SOAU";119;15.4;17.3478887970166;3.6;11.8;1;0;"ce154.5"
13;"p1";"SOAU";125.5;13.7;21.8042272035897;4.7;13.2;1;1;"ce168.5"
14;"p1";"ACPS";145.5;6.4;9.64478955136886;15;9;1;0;"30.3"
15;"p1";"SOAR";162;1.4;10.8225361302489;10.4;11;1;0;"34"
16;"p1";"ACPS";179;-3.8;15.1515505823484;12.7;9.8;1;0;"47.6"
17;"p1";"ACPS";179;-4;9.13549373347479;13.4;5.8;2;0;"casse28.7"
18;"p1";"PIAB";217;-14.3;25.52845287194;5.1;17.2;1;0;"80.2"
19;"p1";"SOAU";205;-12.9;8.27605704077856;8.7;7.2;1;0;"26"
20;"p1";"PIAB";205;-11;60.2242304659732;14.8;33.4;1;0;"189.2"
21;"p1";"PIAB";256;-14.6;34.2819747419943;3;22.8;1;0;"107.7"
22;"p1";"ABAL";244;-20;32.2129604817996;8;19.3;1;0;"101.2"
23;"p1";"SAsp";243;-19.5;12.9233813790619;15.2;5.1;1;1;"tres penche40.6"
24;"p1";"PIAB";272;-19.7;48.5422576430281;10.6;25;1;0;"152.5"
25;"p1";"ACPS";273;-19;13.018874344917;15.3;11.6;1;0;"40.9"
26;"p1";"PIAB";318;-16;24.5098612361519;5.1;14.6;1;0;"77"
27;"p1";"SOAU";381;7.6;8.84901483590938;4.6;10.2;1;0;"ce227.8"
28;"p1";"SOAU";385;8;8.11690209768666;4.76;6.4;1;0;"25.5"
28.5;"p1";"PIAB";396;10;;5.28;;1;0;"Ajout2022"
