"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p3";"PIAB";229;23;34;2.57;28.3;1;0;
2;"p3";"PIAB";264;9;34.6;2.92;26.8;1;0;
3;"p3";"PIAB";232;15;9.8;3.81;7;1;0;
4;"p3";"PIAB";270;2;14.6;4.36;10.3;1;0;
5;"p3";"ABAL";280;-4;27.4;7.37;19.2;1;0;
6;"p3";"PIAB";295;-7;31.9;11.8;24.2;1;0;
7;"p3";"PIAB";305;-11;12.8;11.76;8.6;1;0;
8;"p3";"ABAL";303;-11;28.6;14.47;23.7;1;0;
9;"p3";"ABAL";334;-16;28.8;11.93;29.9;1;0;
10;"p3";"PIAB";343;-17;43.3;10.5;27.4;1;0;
11;"p3";"PIAB";326.5;-16;32.5;6.86;24.4;1;0;
12;"p3";"PIAB";365;-19;26.5;13.27;18.9;2;0;"cc"
13;"p3";"PIAB";374;-21;11;14.52;8.2;1;0;
14;"p3";"PIAB";378;-20;28.5;14.93;22.8;1;0;
15;"p3";"PIAB";382;-21;7.6;14.86;6.9;3;0;"sec"
16;"p3";"PIAB";368;-18;40.2;9.75;29.3;1;0;
17;"p3";"ABAL";372;-19;10.2;8.47;5.4;1;0;
18;"p3";"PIAB";376;-21;25.8;8.98;20.1;1;0;
19;"p3";"PIAB";1;-22;38.4;13.44;27.5;1;0;
20;"p3";"ABAL";11;-22;11.4;11.74;8.3;1;0;
21;"p3";"PIAB";6;-22;30.1;10.09;25.5;1;0;
22;"p3";"PIAB";1;-21;36.5;7.17;27.4;1;0;
23;"p3";"PIAB";10;-22;14.5;7.18;12.4;2;0;"cc"
24;"p3";"ABAL";50;-13.5;44.5;7.36;30.5;1;0;
25;"p3";"PIAB";47;-17;40.4;9.6;31;1;0;
26;"p3";"PIAB";45;-18;8.8;11.96;4.6;1;0;
27;"p3";"PIAB";49.5;-18;43.1;15.36;26.7;1;0;
28;"p3";"PIAB";78;-8;23.7;13.71;20.2;1;0;
29;"p3";"PIAB";76;-7;27;5.85;22;1;0;
30;"p3";"PIAB";96.5;3;16.5;7.04;10.5;1;0;
31;"p3";"ABAL";107.5;6.5;58.2;6.93;33.2;1;0;
32;"p3";"ABAL";145;19;66.2;4.85;31.4;1;0;
33;"p3";"ABAL";151;19.5;26.7;6.12;17.6;1;0;
34;"p3";"PIAB";147;17;16.4;7.53;7.7;3;0;"sec"
35;"p3";"ABAL";131.5;14;31.5;14.32;22.3;1;0;
36;"p3";"PIAB";199;21;59.2;8.7;31.5;1;0;
37;"p3";"PIAB";250;4;59.2;13.71;33.2;1;0;
38;"p3";"PIAB";244;5.5;45.9;14.74;29.5;1;0;
39;"p3";"ABAL";378;-16;50.5;3.6;29.5;1;0;
