"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
327;"p3";"ABAL";24;-10;27.8;2.44;22.3;1;0;""
328;"p3";"FASY";99;-20;9.1;1.19;13.9;1;0;""
329;"p3";"ABAL";68;-18;14.6;5.288;19.2;1;0;""
330;"p3";"FASY";76;-20;10.7;9.34;18;1;0;""
331;"p3";"FASY";70;-20;8.3;8.98;16.7;1;1;"pe"
332;"p3";"FREX";60;-21;14.8;10.46;19.8;1;0;""
333;"p3";"FREX";58;-21;11.7;10.74;19.3;1;0;""
334;"p3";"ACPS";48;-21;11.9;10.89;21.1;1;0;""
335;"p3";"ABAL";60;-23;36.4;12.38;23.2;1;0;""
336;"p3";"FASY";60;-23;18;13.78;18.3;1;1;"pe"
337;"p3";"FASY";67;-23;17.5;13.23;19.3;1;1;"pe"
338;"p3";"ABAL";62;-24;10.4;14.82;10;1;0;""
339;"p3";"ABAL";71;-24;25;15.21;23.6;1;0;""
340;"p3";"ABAL";78;-23;38.7;15.2;22.5;1;0;""
341;"p3";"ABAL";80;-23;17.7;13.28;21.4;1;0;""
342;"p3";"ABAL";80;-23;29.6;11.99;23.1;1;0;""
343;"p3";"ABAL";88;-22;32.6;11.5;21.6;1;0;""
344;"p3";"ABAL";100;-19;40.2;10;23.6;1;0;""
345;"p3";"ABAL";118;-16;18.2;10.72;13.8;1;0;""
346;"p3";"FREX";125;-13;12.4;8.61;15.3;1;0;""
347;"p3";"FASY";130;-11;33.5;9.06;18.4;1;0;""
348;"p3";"FASY";136;-8;31;6.09;20.6;1;0;""
349;"p3";"ACPS";144;-7;19.2;7.62;18.9;1;0;""
350;"p3";"ABAL";146;-7;12.1;8.93;12.9;1;0;""
351;"p3";"FREX";146;-5;14.7;12.37;15.9;1;0;""
352;"p3";"ABAL";143;-8;11;14.35;12.4;1;0;""
353;"p3";"ACPS";148;-6;10.1;14.46;14.8;1;0;""
354;"p3";"ACPS";154;-3;10;14.4;15;1;0;""
355;"p3";"ABAL";161;0;25.1;12.45;20.6;1;0;""
356;"p3";"ABAL";173;4;9.5;12.55;10.5;1;0;""
357;"p3";"ABAL";161;0;24.7;10.96;19.5;1;0;""
358;"p3";"ACPS";165;1;16.8;9.76;22.2;1;0;""
359;"p3";"ACPS";167;2;17;9.95;19;1;0;""
360;"p3";"ABAL";153;-4;11.9;4.99;12.1;1;0;""
361;"p3";"FREX";156;0;23.9;4.81;21.8;1;0;""
362;"p3";"ABAL";197;15;8.3;7.1;6.5;1;0;""
363;"p3";"ABAL";205;18;38.6;8.85;24.6;1;0;""
364;"p3";"ABAL";197;16;41.8;9.98;25.2;1;0;""
365;"p3";"ABAL";185;10;32.6;10.65;18;1;0;""
366;"p3";"ABAL";188;10;15.8;12.43;20.4;1;0;""
367;"p3";"ACPS";188;10;12.2;13.5;14.9;1;0;""
368;"p3";"FASY";190;10;14.8;14.23;16.8;1;0;""
369;"p3";"ABAL";192;10;25.6;14.95;24.3;1;0;""
370;"p3";"ABAL";194;10;16.1;14.67;19.1;1;0;""
371;"p3";"ABAL";205;15;24.6;11.9;23;1;0;""
372;"p3";"ABAL";212;16;18;12.48;20.5;1;0;""
373;"p3";"ABAL";219;18;23.5;14.2;23.1;1;0;""
374;"p3";"SOAR";225;19;7.8;13.56;14.4;1;0;""
375;"p3";"FASY";221;18;7.5;13.15;16.7;1;0;""
376;"p3";"FASY";220;19;15.6;11.3;22.8;1;0;""
377;"p3";"ABAL";230;22;13.5;10.87;19.4;1;0;""
378;"p3";"ABAL";239;24;19;9.75;19.8;1;0;""
379;"p3";"ABAL";228;21;20.1;8.72;21.8;1;0;""
380;"p3";"ABAL";225;21;18.8;8.06;22.2;1;0;""
381;"p3";"ABAL";243;25;25.2;6.69;23.9;1;0;""
382;"p3";"ABAL";233;19;12.8;5.39;8.4;4;0;"sec"
383;"p3";"FASY";249;25;8.5;4.08;12.9;1;0;""
384;"p3";"FASY";253;24;7.9;3.98;11.1;1;0;""
385;"p3";"ABAL";275;26;7.9;5.24;8;1;0;""
386;"p3";"ABAL";298;24;39.6;6.28;23.9;1;0;""
387;"p3";"FASY";281;23;8;8.03;14.7;4;0;"sec"
388;"p3";"ABAL";272;25;25;7.27;21.1;1;0;""
389;"p3";"ABAL";266;25;26.7;10.49;23;1;0;""
390;"p3";"ABAL";262;24;39.6;12.31;26.1;1;0;""
391;"p3";"ABAL";262;24;28.6;14.7;23.2;1;0;""
392;"p3";"ABAL";252;23;17.4;13.58;20.5;1;0;""
393;"p3";"ABAL";242;23;11.6;13.95;13.1;1;0;""
394;"p3";"ACPS";242;23;12.1;14.9;20;1;1;"pe"
395;"p3";"ABAL";240;22;24.7;15.2;23.8;1;0;""
396;"p3";"ABAL";235;22;36;14.84;25;1;0;""
397;"p3";"ABAL";229;19;7.5;15.5;6.4;4;0;"sec"
398;"p3";"ACPS";277;23;12.9;11.98;16.6;1;0;""
399;"p3";"ACPS";279;24;8.3;12.12;12.1;1;0;""
400;"p3";"ACPS";278;24;14.2;12.44;24.5;1;0;""
401;"p3";"ACPS";276;24;12.6;12.33;21.8;1;0;""
402;"p3";"FASY";291;22;10.6;14.4;23.4;1;0;""
403;"p3";"ABAL";302;22;16.25;15.4;19;1;0;""
404;"p3";"FREX";312;18;9.2;15.2;16.8;1;0;""
405;"p3";"ABAL";308;19;9.9;13.85;13.1;4;0;"sec"
406;"p3";"ABAL";299;21;28.8;13.12;24.7;1;0;""
407;"p3";"ABAL";299;21;15.7;12.4;22.1;1;0;""
408;"p3";"ABAL";303;21;27.8;11.41;23.6;1;0;""
409;"p3";"ULsp";295;21;9.7;10.7;15.5;1;1;"pe"
410;"p3";"ABAL";310;19;9.6;12.1;13.9;1;0;""
411;"p3";"ABAL";322;17;18.3;10.67;18.8;1;0;""
412;"p3";"ABAL";320;16;25.5;12.47;23.7;1;0;""
