"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
81;"p1";"PIAB";189;5;32;2.38;27;2;0;"souche, hauteur lidar et diametre par regression grain"
82;"p1";"PIAB";148.5;8;24.1;5.02;27.6;1;0;
83;"p1";"PIAB";132;9.5;50.6;5.1;39.1;1;0;
84;"p1";"PIAB";137;8;50.2;11.39;37.7;1;0;
85;"p1";"ABAL";143.5;6.5;29.8;14.5;30.6;1;0;
86;"p1";"ABAL";126;7.5;23.3;13.16;24.2;1;0;
87;"p1";"PIAB";109.5;8;47.1;11.85;38.7;1;0;
88;"p1";"ABAL";80;7;13.5;14.42;12.2;1;0;
89;"p1";"ABAL";78;6.5;43.5;9.43;34.4;1;0;
90;"p1";"ABAL";80;7;11.8;5.98;6.8;1;0;
91;"p1";"PIAB";64.5;6;48.7;6.07;36.5;1;0;
92;"p1";"ABAL";64.5;6;47.2;13.87;32.6;1;0;
93;"p1";"ABAL";46;4;15.8;12.9;13.6;1;0;
94;"p1";"ABAL";53.5;4;7.6;9.22;5.4;1;0;
95;"p1";"PIAB";52;4;37.6;8.19;36;1;0;
96;"p1";"PIAB";37.5;3;41.4;8.56;35.7;1;0;
97;"p1";"PIAB";45;4.5;31.3;5.71;35.1;1;0;
98;"p1";"PIAB";13;0;59.2;3.38;39.6;1;0;
99;"p1";"PIAB";376;-3.5;23.2;1.09;30.3;1;0;
100;"p1";"PIAB";329.5;-6;49.9;2.28;39.4;1;0;
101;"p1";"ABAL";386;-6;7.8;6.02;5.7;1;0;
102;"p1";"PIAB";3;-3;26.4;8.39;29.8;1;0;
103;"p1";"PIAB";4;-3;30.5;10.8;30.3;1;0;
104;"p1";"PIAB";9;-2;61.1;13.53;39.9;1;0;
105;"p1";"ABAL";9;-2;8.3;14.67;7;1;0;
106;"p1";"PIAB";380.5;-8;25.8;13.48;32.6;1;0;
107;"p1";"PIAB";383.5;-6;38.4;10.76;34.2;1;0;
108;"p1";"PIAB";372;-8;39.7;9.66;35.6;1;0;
109;"p1";"ABAL";373;-8;9.1;8.02;6.4;1;0;
110;"p1";"PIAB";385;-6;41.1;8.06;37.4;1;0;
111;"p1";"PIAB";347;-9;54.1;14.64;38.6;1;0;
112;"p1";"PIAB";343;-9;46.9;11;35.5;1;0;
113;"p1";"PIAB";335.5;-9;23;9.74;34.4;1;0;
114;"p1";"ABAL";334;-10;10.9;10.77;8.3;1;0;
115;"p1";"PIAB";321.5;-9;44;9.38;34.6;1;0;
116;"p1";"PIAB";332;-9;50.9;12.48;37.9;1;0;
117;"p1";"PIAB";326;-10;31.5;14.26;27;1;0;
118;"p1";"PIAB";296.5;-7;42.6;13.93;31.8;1;0;
119;"p1";"PIAB";289;-5;34.4;10.92;32.6;1;0;
120;"p1";"PIAB";288;-5;26.4;9.92;31.1;1;0;
121;"p1";"PIAB";274;-4;44.9;9.85;35.7;1;0;
122;"p1";"PIAB";251.5;0;34.2;11.62;30.2;1;0;
123;"p1";"PIAB";209;4;28.1;13.72;27.8;1;0;
124;"p1";"PIAB";202;5;61;10.9;38.2;1;0;
125;"p1";"PIAB";209;4;26.9;8.33;29.5;1;0;
126;"p1";"PIAB";178.5;6;53;10.03;37.7;1;0;
